id,addtime,brand,model1,discountprice,originalprice,vehicleage,kilometer,imgurl,xqurl,city,thumbsupnum,crazilynum,clicktime,clicknum,discussnum,storeupnum
1708,2026-03-11 06:59:41,五菱汽车 宏光MINIEV ,五菱汽车 宏光MINIEV 2022款 马卡龙时尚款 三元锂,1.95,1.95,2022年,2.21,"https://image-public.guazistatic.com/qnbdp7964x88fbaa0dd7b1408bb011708b36c62d4c1764917574.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c160292380494290.html,湖州,0,0,,0,0,0
1736,2026-03-11 06:54:07,吉利银河 ,吉利银河 2023款 熊猫mini 200km 耐力熊,2.65,2.65,2023年,4.78,"https://image-public.guazistatic.com/qnbdp7206xf02f7862874b4113a78f4a3e938ba5ec1771834739.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163149679328441.html,广州,0,0,,0,0,0
1797,2026-03-11 06:59:52,宝骏E100 ,宝骏E100 2019款 250KM 智行版,2.04,2.04,2020年,3.86,"https://image-public.guazistatic.com/qnbdp7964x3e1ab2c4b9f94149b12023ac2e75164a1772090698.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163231049243564.html,邯郸,0,0,,0,0,0
1811,2026-03-11 06:54:07,思皓 花仙子 ,思皓 花仙子 2021款 302km 时尚型 30.2kWh,2.72,2.72,2021年,2.49,"https://image-public.guazistatic.com/qnbdp7206xf8022f1be16a4a7f936625c730a94f3b1772521227.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163586293132857.html,广州,0,0,,0,0,0
1843,2026-03-11 06:54:07,奔腾小马 ,奔腾小马 2025款 222km 闪电马,2.88,2.88,2025年,0.84,"https://image-public.guazistatic.com/qnbdp7206xc9381f6cdaa24b6c8db0b214499561f81770532497.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c162217776324866.html,广州,0,0,,0,0,0
1877,2026-03-11 06:59:52,荣威 科莱威CLEVER ,荣威 科莱威CLEVER 2022款 311km元气啵啵版,2.79,2.79,2022年,2.03,"https://image-public.guazistatic.com/qnbdp7206xda97a51aa72245e19871665369b7b29e1769236754.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c162238009963852.html,宿迁,0,0,,0,0,0
1881,2026-03-11 06:59:52,奔腾小马 ,奔腾小马 2025款 222km 灵动马,2.96,2.96,2025年,0.0,"https://image-public.guazistatic.com/qnbdp7206x0f68d5413b6b4667bb6b8872c04c69591768542351.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161911562150971.html,商丘,0,0,,0,0,0
1914,2026-03-11 06:59:47,五菱汽车 宏光MINIEV ,五菱汽车 宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,2.27,2.27,2022年,3.0,"https://image-public.guazistatic.com/qnbdp7964x70b4d69dcc9c43508621b6e5a75924ba1772706420.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163648621262585.html,郑州,0,0,,0,0,0
2053,2026-03-11 06:59:52,吉利汽车 缤越 ,吉利汽车 缤越 2021款 1.4T 手动黄金版,3.13,3.13,2023年,9.64,"https://image-public.guazistatic.com/qnbdp7206xf3ecd7d231054dedbddcaf957b217dc81772533991.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163599716305741.html,广州,0,0,,0,0,0
2085,2026-03-11 06:59:41,福特 福睿斯 ,福特 福睿斯 2019款 EcoBoost 125 自动臻享型,3.13,3.13,2019年,9.09,"https://image-public.guazistatic.com/qnbdp7206xd855e16c86984f90b7769e6ce488da101772684890.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163615338187469.html,广州,0,0,,0,0,0
2133,2026-03-11 06:54:07,雪佛兰 探界者 ,雪佛兰 探界者 2018款 550T 自动四驱拓界版,4.59,4.59,2018年,16.32,"https://image-public.guazistatic.com/qnbdp7206x3e8c41892a484adc9dd47c94cccbdfbf1770450465.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c162846976323699.html,广州,0,0,,0,0,0
2181,2026-03-11 06:59:41,马自达CX-5 ,马自达CX-5 2015款 2.0L 自动两驱都市型,4.78,4.78,2017年,10.22,"https://image-public.guazistatic.com/qnbdp7206x511ae1e495e44b849339b45c304916e91772505767.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163537803323808.html,广州,0,0,,0,0,0
2315,2026-03-11 06:54:07,比亚迪 宋MAX ,比亚迪 宋MAX 2018款 1.5T 自动智联精英型 6座,3.47,3.47,2019年,6.06,"https://image-public.guazistatic.com/qnbdp7206x07e9fa30721842258f1e61cd0ca1b1c81772422541.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163488738322530.html,广州,0,0,,0,0,0
2340,2026-03-11 06:59:47,大众 高尔夫 ,大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,4.45,4.45,2017年,10.03,"https://image-public.guazistatic.com/qnbdp7206xb0f55d790df6478ab454c11c37ecf22f1771943616.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163119167192155.html,广州,0,0,,0,0,0
2343,2026-03-11 06:59:47,现代 菲斯塔 ,现代 菲斯塔 2019款 280TGDi 运动版 国V,4.22,4.22,2018年,8.75,"https://image-public.guazistatic.com/qnbdp7206x2bea111e98a442f18090c095af20287d1772604230.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163585555104501.html,广州,0,0,,0,0,0
2393,2026-03-11 06:59:52,起亚 焕驰 ,起亚 焕驰 2020款 改款 1.4L 自动舒适天窗版,4.37,4.37,2022年,1.59,"https://image-public.guazistatic.com/qnbdp7206x19295013d48a4e9388ce8c5dcc600e901772696430.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163684009246318.html,淄博,0,0,,0,0,0
